Title,main_category,category,date,description
"Twitch Bans Gambling Sites After Streamer Scams Folks Out Of $200,000",News,TECH,2022-09-21,one man claim scammed people platform caused several popular streamer consider twitch boycott
Virginia Thomas Agrees To Interview With Jan. 6 Panel,News,U.S. NEWS,2022-09-21,conservative activist virginia thomas wife supreme court justice clarence thomas agreed participate voluntary interview house panel investigating insurrection
Russian Cosmonaut Valery Polyakov Who Broke Record With 437-Day Stay In Space Dies At 80,News,WORLD NEWS,2022-09-20,polyakov trip outer space saw orbit earth time travel nearly million mile
'Reboot' Is A Clever And Not Too Navel-Gazey Look Inside TV Reboots,News,CULTURE & ARTS,2022-09-20,starring key judy greer johnny knoxville hulu show follows revival fictional early sitcom
"Maury Wills, Base-Stealing Shortstop For Dodgers, Dies At 89",News,SPORTS,2022-09-20,maury will helped los angeles dodger win three world series title prowess died
4 Russian-Controlled Ukrainian Regions Schedule Votes This Week To Join Russia,News,WORLD NEWS,2022-09-20,concerted quickening effort swallow four region could set stage moscow escalate war
Fiona Barrels Toward Turks And Caicos Islands As Category 3 Hurricane,News,WORLD NEWS,2022-09-20,turk caicos island government imposed curfew intensifying storm kept dropping copious rain dominican republic puerto rico
Golden Globes Returning To NBC In January After Year Off-Air,News,ENTERTAINMENT,2022-09-20,past month hollywood effectively boycotted globe report member journalist included black member
Biden Says U.S. Forces Would Defend Taiwan If China Invaded,News,POLITICS,2022-09-19,president issue vow tension china rise
Hurricane Fiona Bears Down On Dominican Republic After Pounding Puerto Rico,News,WORLD NEWS,2022-09-19,storm knocked power grid unleashed flood landslide puerto rico governor said damage
One Dead After Plane Crashes At Reno Air Race,News,U.S. NEWS,2022-09-19,plane participating national championship air race sunday crashed field killing pilot official said
ÃÂBeautiful And Sad At The Same TimeÃÂ: Ukrainian Cultural Festival Takes On A Deeper Meaning This Year,News,POLITICS,2022-09-19,annual celebration took different feel russia invasion dragged day
Family Of American Held In Afghanistan Says He Was Freed By Taliban In Prisoner Swap,News,U.S. NEWS,2022-09-19,mark frerichs navy veteran civilian contractor kidnapped afghanistan january
"Las Vegas Aces Win First WNBA Title, Chelsea Gray Named MVP",News,SPORTS,2022-09-19,la vega never professional sport champion sunday
World Leaders Pay Respects To Queen Elizabeth II,News,WORLD NEWS,2022-09-18,president joe biden first lady jill biden among thousand mourner local tourist royal world leader pay respect
James Cameron Says He 'Clashed' With Studio Before 'Avatar' Release,News,ENTERTAINMENT,2022-09-18,avatar director said aspect movie still competitive everything day
'French Spider-Man' Celebrates 60th Birthday With A Massive Skyscraper Climb,News,WEIRD NEWS,2022-09-18,alain robert known french climbed burj khalifa empire state building
Biden Says Queen's Death Left 'Giant Hole' For Royal Family,News,POLITICS,2022-09-18,president joe biden london funeral queen elizabeth ii say heart went royal family adding death left
Watchdog Report Finds Some Census Takers Who Fudged 2020 Data DidnÃÂt Get Fired,News,U.S. NEWS,2022-09-18,despite entering false information work redone fully case census taker received bonus office inspector general reported
First Public Global Database Of Fossil Fuels Launches,News,ENVIRONMENT,2022-09-18,monday first public database fossil fuel production reserve emission launch
Man Charged With Exposing Himself To Mourners Waiting To View Queen Elizabeth,News,WORLD NEWS,2022-09-17,reportedly fled thames failed bid escape police
Alaska Prepares For 'Historic-Level' Storm Barreling Towards Coast,News,ENVIRONMENT,2022-09-17,year people referring september storm benchmark
Puerto Rico Braces For Landslides And Severe Flooding As Tropical Storm Fiona Approaches,News,ENVIRONMENT,2022-09-17,puerto rico hurricane watch saturday storm barreled towards territory
WHO Raises Alarm On Disease In Flood-hit Areas Of Pakistan,News,WORLD NEWS,2022-09-17,world health organization raising alarm wake deadly flood pakistan summer doctor medical worker ground race battle outbreak waterborne disease
Privatization IsnÃÂt The Answer To JacksonÃÂs Water Crisis,News,ENVIRONMENT,2022-09-17,study repeatedly shown ending public administration water supply work table mississippi
German Customs Officials Follow Trail Of Slime And Find Bags Of Giant Snails,News,WEIRD NEWS,2022-09-16,history duesseldorf custom office trail slime led u smuggled good spokesman michael walk told medium
Amazon Greenlights 'Blade Runner 2099' Limited Series Produced By Ridley Scott,News,ENTERTAINMENT,2022-09-16,director original film join writer sequel newest installment franchise
Bill To Help Afghans Who Escaped Taliban Faces Long Odds In The Senate,News,POLITICS,2022-09-16,republican outrage shoddy withdrawal afghanistan spurred support resettling refugee
Alabama Sidesteps Compensation For Survivor Of '63 KKK Blast,News,U.S. NEWS,2022-09-16,sarah collins rudolph lost eye piece glass inside body ku klux klan bombing killed sister three black girl inside alabama church year ago
Racism Seen As Root Of Water Crisis In Mississippi Capital,News,U.S. NEWS,2022-09-16,advisory lifted mississippi capital state stop handing free bottled water saturday
'The Phantom Of The Opera' To Close On Broadway Next Year,News,ENTERTAINMENT,2022-09-16,phantom show scheduled close february victim softening theater attendance new york
Mark Meadows Complies With Justice Dept. Subpoena: Report,News,POLITICS,2022-09-15,former white house chief staff turned record part federal investigation assault capitol
"Meet Alex Aster, The TikToker Changing The Publishing Industry For The Better",News,CULTURE & ARTS,2022-09-15,author new book lightlark rejected numerous time went directly reader support
Chick-Fil-A Worker Saves Woman With Baby From Being Carjacked,News,U.S. NEWS,2022-09-15,mykel gordon rushed woman aid held assailant police arrived remarkably first time gordon may saved life
Viola Davis Feared A Heart Attack During 'The Woman King' Training,News,ENTERTAINMENT,2022-09-15,oscar winner said worked five hour day role new action movie
Kim Kardashian's Next Boyfriend Could Be A Biochemist,News,ENTERTAINMENT,2022-09-15,reality star told james corden branching clearly working whatever
Podcasters Offer $100K Reward For Information On 2PacÃÂs Killers,News,ENTERTAINMENT,2022-09-15,la vega podcasters hoping find shot rap icon year ago
"Cardi B Donates $100,000 To Her Old Middle School In The Bronx",News,ENTERTAINMENT,2022-09-14,rapper surprised child alexander macomb school morris height make announcement
"Bill Richardson Visits Moscow As Brittney Griner, Paul Whelan Remain Jailed",News,WORLD NEWS,2022-09-14,richardson former ambassador united nation frequent emissary hostage negotiation held meeting russian leader
Emmy Awards Viewership Dips To A Record-Low As Its Audience Continues To Drop,News,ENTERTAINMENT,2022-09-14,television award ceremony lost roughly million viewer compared program
"Possible Nationwide Rail Strike Is Already Impacting Travelers, Businesses",News,U.S. NEWS,2022-09-14,white house press secretary karine said rail shutdown acceptable would harm family well business
Democrats Nominate Seth Magaziner In Key Rhode Island House Race,News,POLITICS,2022-09-14,state general treasurer slated face former cranston mayor allan fung r general election
TikTok Search Results Riddled With Misinformation: Report,News,TECH,2022-09-14,firm monitor false online claim report search information prominent news topic tiktok likely turn result riddled misinformation
U.S. Inflation Falls For 2nd Straight Month On Lower Gas Costs,News,U.S. NEWS,2022-09-13,monthly basis price rose flat reading july
"Jean-Luc Godard, Pioneering French Filmmaker, Dies",News,ENTERTAINMENT,2022-09-13,director best known groundbreaking movie breathless
Thousands Of Minnesota Nurses Launch 3-day Strike Over Pay,News,U.S. NEWS,2022-09-13,pressing salary increase say help improve patient care resolving understaffing stress worsened pandemic
Joe Biden Urges National Unity In Speech On Renewed ÃÂCancer MoonshotÃÂ,News,POLITICS,2022-09-13,cancer discriminate red blue president said monday beating cancer something together
Sen. Tim Scott Downplays Electability Concerns Over Struggling Senate GOP Candidates,News,POLITICS,2022-09-12,field gon na play scott told fox news sunday
Boston Marathon To Make Race More Inclusive For Nonbinary Runners,News,SPORTS,2022-09-12,race organizer say nonbinary athlete wo register men woman division provided qualifying time guide training
"Anthony Varvaro, MLB Pitcher Turned Transit Cop, Dies In Crash On Way To 9/11 Ceremony",News,SPORTS,2022-09-12,varvaro pitched mostly atlanta brave started law enforcement career
Electability Is On The Ballot In Key Rhode Island House Primary,News,POLITICS,2022-09-12,democrat moderate house district deciding take popular republican former mayor
"In A Nod To JFK, Joe Biden Pushing 'Moonshot' To Fight Cancer",News,POLITICS,2022-09-12,biden plan draw attention new federally backed study seek validate using blood test screen multiple cancer
How Ani Liu Is Brilliantly Disguising Her Art As Science,News,CULTURE & ARTS,2022-09-12,artist found dynamic way confront conversation female empowerment motherhood labor artwork
'Sidney' Tackles The Not-So-Comfortable Conversations About A Black Cinema Icon,News,CULTURE & ARTS,2022-09-11,sensationalizing even tarnishing reputation sidney poitier rather new documentary honor humanity every facet
"Carlos Alcaraz Wins U.S. Open For 1st Slam Title, Top Ranking",News,SPORTS,2022-09-11,carlos alcaraz defeated casper ruud open final earn first grand slam age become youngest man move ranking
"Weather Helping, But Threat From Western Fires Persists",News,U.S. NEWS,2022-09-11,firefighter made progress huge northern california wildfire still growing threatening thousand mountain home
"Biden Honors 9/11 Victims, Vows Commitment To Thwart Terror",News,POLITICS,2022-09-11,president joe biden marked anniversary attack taking part somber ceremony held pentagon steady rain
9/11 Attacks Still Reverberate As U.S. Marks 21st Anniversary,News,U.S. NEWS,2022-09-11,september remains point reflection attack thatÃ¢ reconfigured national security policyÃ¢ spurred worldwide
Last Reactor At Ukraine's Zaporizhzhia Nuclear Plant Stopped,News,WORLD NEWS,2022-09-11,plant one biggest atomic power station world occupied russian force since early war marked day sunday
Payment Processor Visa To Start Categorizing Sales At Gun Stores,News,U.S. NEWS,2022-09-10,adoption significant largest payment network likely add pressure mastercard american express adopt code well
"US, Trump Team Propose Names For Arbiter In Mar-A-Lago Probe",News,POLITICS,2022-09-10,justice department proposed two retired judge role team proposed retired judge lawyer
James Cameron Presents New Scenes From 'Avatar: The Way Of Water' At D23 Expo,News,ENTERTAINMENT,2022-09-10,director told audience super excited finally finishing movie two three additional installment work
Russia Says It's Pulling Back Forces From Ukraine's Kharkiv Region,News,WORLD NEWS,2022-09-10,defense ministry announced troop pulled back two area ukrainian counter offensive made significant advance
Severe Winds Batter Southern California As Heat Wave Breaks,News,ENVIRONMENT,2022-09-10,heat wave nearly overwhelmed electrical grid southern california got cooler weather also ferocious tropical storm
Ukraine Claws Back Some Territory; Nuclear Plant In Peril,News,WORLD NEWS,2022-09-10,ukrainian force claiming new success counteroffensive russian force east
Watch Harry Styles Pay Tribute To Queen Elizabeth II At NYC Concert,News,ENTERTAINMENT,2022-09-09,join round applause year service pop star told crowd paused madison square garden performance
Ex-Employee Testifies He Now Doubts R. Kelly Abuse Denials,News,ENTERTAINMENT,2022-09-09,derrell testimony could major blow r b singer hope acquittal
'Our Hearts Are Broken': Historic Front Pages Mark The Queen's Death,News,WORLD NEWS,2022-09-09,british international newspaper honor passing monarch
JoJo Siwa To Receive Prestigious GLSEN Honor For Her LGBTQ Advocacy Work,News,ENTERTAINMENT,2022-09-09,singer dancer youtube icon receive gamechanger award focus effort
UN Chief Asks World For 'Massive' Help In Flood-Hit Pakistan,News,WORLD NEWS,2022-09-09,speaking islamabad antonio guterres said country bearing responsibility climate change faced challenge
"Politician's DNA Connected To Las Vegas JournalistÃÂs Murder, Police Say",News,POLITICS,2022-09-08,clark county public administrator robert telles arrested fatal stabbing jeff german investigating office
Michelle Obama Celebrated For Wearing Braids To Her White House Portrait Unveiling,News,ENTERTAINMENT,2022-09-08,internet ignited approval former first lady hairstyle choice monumental day
Norman Reedus Opens Up About 'Walking Dead' Injury: 'I Thought I Was Going To Die',News,ENTERTAINMENT,2022-09-08,actor said badly concussed shooting series finale feared life holding onto wall recovering
Michigan Supreme Court Revives Abortion Rights Amendment For November's Ballot,News,POLITICS,2022-09-08,opponent measure claimed typo made qualifying petition incomprehensible state highest court rejected argument
Portland Residents With Disabilities Sue Over City's Blocked Sidewalks,News,POLITICS,2022-09-08,lawsuit say allowing homeless tent block city sidewalk make difficult people using wheelchair walker cane use
At Least 32 Dead In Fire At Karaoke Parlor In South Vietnam,News,WORLD NEWS,2022-09-08,fire thuan city began late tuesday trapped worker customer inside venue
Baseball Players Union Joins AFL-CIO In Show Of Solidarity With Other Workers,News,SPORTS,2022-09-07,mlb player association finally member affiliating union across industry
"Muslims Only Make Up 1% Of Characters On TV, Study Finds",News,ENTERTAINMENT,2022-09-07,scripted show researcher analyzed muslim character typically violent dehumanized disparaged existed
The Unemployment Insurance System Is Not Ready For The Next Recession,News,POLITICS,2022-09-07,state cutting back congress unlikely step even pandemic exposed unemployment system shortcoming
"Power Outage At Austin Airport Leads To Flight Delays, Traffic Jams",News,U.S. NEWS,2022-09-07,airport official austin texas say early morning power outage causing flight delay even electricity restored
"Shelling Goes On Near Ukraine Nuclear Plant, Despite Risks",News,WORLD NEWS,2022-09-07,head international atomic energy agency warned security council catastrophic could take zaporizhzhia
Cyberattack Prompts Los Angeles School District To Shut Down Its Computer Systems,News,EDUCATION,2022-09-07,attack become growing threat school several incident reported since last year
Fast-Moving Fairview Fire Kills At Least 2 In California,News,U.S. NEWS,2022-09-06,second fire killed two people northern california weekend
"Kody Clemens Strikes Out MVP Shohei Ohtani, Trails Dad Roger By 4,671 Ks",News,SPORTS,2022-09-06,detroit tiger rookie utility player got pressed duty loss angel
Mississippi Governor Says Water Pressure Is Now 'Solid' In Jackson,News,U.S. NEWS,2022-09-06,city remains boil water notice first went effect july
"Meta, Parent Company Of Instagram, Fined $400 Million By Irish Regulators",News,U.S. NEWS,2022-09-06,social medium giant fined violation data privacy law related information child instagram
School Starts Today For Survivors Of Deadly Mass Shooting In Uvalde,News,U.S. NEWS,2022-09-06,new high fencing around texas community public school still finished heavy police patrol many family trust
"U.S.: Russia To Buy Rockets, Artillery Shells From North Korea",News,WORLD NEWS,2022-09-06,finding come biden administration confirmed russian military august took delivery drone use ukraine
Harry Styles Say He Feels Like He Has 'No Idea What I'm Doing' When Acting,News,ENTERTAINMENT,2022-09-05,singer said also see many parallel music acting
Michigan Secretary of State Worried About ÃÂViolence And DisruptionÃÂ Going Into Midterms,News,POLITICS,2022-09-05,jocelyn benson said misinformation fuel potential additional threat harassment even violence election day
Citing Imminent Danger Cloudflare Drops Hate Site Kiwi Farms,News,TECH,2022-09-05,cloudflare ceo matthew prince previously resisted call block site
Bear Spotted Chilling In California Swimming Pool,News,U.S. NEWS,2022-09-05,welcome yard long kill family homeowner quipped
Uvalde Fourth Graders Waited An Hour With Wounded Teacher,News,POLITICS,2022-09-05,elsa avila look scar run torso ca help remember may gunman stormed fourth grade wing robb elementary uvalde texas killing child two teacher leaving others wounded
Trump-Endorsed Wisconsin Gubernatorial Candidate Tells Voters To Take Up Pitchforks,News,POLITICS,2022-09-04,tim michels call supporter go medium following milwaukee journal sentinel story reporting multimillionaire donation group
Memphis Police: Arrest Made In Jogger's Disappearance,News,CRIME,2022-09-04,police tennessee say arrest made disappearance woman abducted jogging
FEMA Director Says It's ÃÂToo EarlyÃÂ To Tell When Jackson Will Have Clean Water Again,News,U.S. NEWS,2022-09-04,resident mississippi capital still clean water rain worsened existing infrastructure
Pakistan's Largest Natural Lake Is Rising To Dangerous Levels Due To Monsoon,News,WORLD NEWS,2022-09-04,authority warn flooding expected lake manchar swell unprecedented monsoon rain killed nearly people
Uvalde Children Grapple With Trauma After School Massacre,News,U.S. NEWS,2022-09-04,student survived may shooting robb elementary texas spending summer host mental health issue including ptsd
Emergency Declared As Flash Flooding Hits Northwest Georgia,News,U.S. NEWS,2022-09-04,thunderstorm heavy rain pounded part northwest georgia sunday sparking flash flooding dangerously high water area
"'The Osbournes' Will Return In British Revival On BBC: 'Same Laughter, Love And Tears'",News,ENTERTAINMENT,2022-09-03,millennials might remember family mtv reality series early bbc series filmed osbourne estate england
Plane That Circled Mississippi Threatening To Crash Has Landed,News,U.S. NEWS,2022-09-03,pilot arrested circling small airplane tupelo mississippi threatening crash walmart store
Fuel Leak Ruins NASA's 2nd Shot At Launching New Moon Rocket,News,SCIENCE,2022-09-03,part space agency artemis program rocket powerful date
9 Migrants Are Found Dead In Rio Grande: Border Patrol,News,U.S. NEWS,2022-09-03,tragic toll followed hazardous crossing desperate dozen said official
Owner Of New England Frozen Yogurt Shops Accused Of Hiding Camera In Store Bathroom,News,U.S. NEWS,2022-09-02,nashua police charged chanphanou sab pou three misdemeanor count violation privacy could face one year jail charge
Former White House Counsel Pat Cipollone To Testify Before Grand Jury: Reports,News,POLITICS,2022-09-02,cipollone former deputy patrick philbin also reportedly scheduled provide testimony grand jury friday
"Tropical Storm Danielle Strengthens Into Hurricane, No Current Threat To Land",News,U.S. NEWS,2022-09-02,storm first hurricane unusually quiet storm season centered mile west azores
Putin Plans To Snub Gorbachev's Funeral,News,WORLD NEWS,2022-09-02,funeral reflects uneasiness legacy gorbachev despised many home collapse soviet union
NASA Aims For Saturday Launch Of New Moon Rocket After Fixing Fuel Leaks,News,U.S. NEWS,2022-09-02,inaugural flight artemis rocket powerful ever built nasa delayed late countdown monday
"U.S. Hiring Slowed In August As Employers Add 315,000 Jobs",News,U.S. NEWS,2022-09-02,unemployment rate rose low july american came sideline look job
Pregnant Woman Who Claimed Unborn Baby Was HOV Lane Passenger Receives Another Ticket,News,U.S. NEWS,2022-09-01,brandy bottone referred roe wade texas penal code identifies unborn child individual first stopped using lane
Should You Freeze-Dry Your Breast Milk?,News,PARENTING,2022-09-01,freezer overflowing tired carrying around ice pack bottle pumped milk option could
Missing Louisiana Nun Found 'Alive And Safe' Months After Armed Home Raid,News,U.S. NEWS,2022-09-01,nun held kidnapper nearly five month following armed raid burkina faso home
"A Ku Klux Klan Plaque Is Mounted At West Point's Science Center, Commission Finds",News,U.S. NEWS,2022-09-01,plaque show hooded man holding weapon
Toxic Algae Causes Thousands Of Dead Fish To Wash Ashore In California,News,ENVIRONMENT,2022-09-01,unprecedented red tide creating foul odor may get worse oncoming heat wave
Lisa Loeb Paved Her Own Way In The '90s ÃÂ A Rare Feat For Independent Artists Of The Time,News,CULTURE & ARTS,2022-08-31,missed artist reflects pushing culture female expected fit certain mold make big
Rep. Jim Jordan's Judiciary Twitter Account Finds 'Threat' In Pic Of Docs At Trump Home,News,POLITICS,2022-08-31,filing described trump representative hand classified material property
Mikhail Gorbachev's 1998 Pizza Hut Ad Resurfaces After His Death,News,POLITICS,2022-08-31,soviet union last leader reportedly earned nearly million even though refused eat pizza camera
Republicans Ignore Trump's Hoarding Of Classified Documents,News,POLITICS,2022-08-31,gop continuing contort defense donald trump despite new information relating classified document held florida estate
ÃÂFox & FriendsÃÂ Host Questions Why Trump Kept Classified Documents At Mar-A-Lago,News,POLITICS,2022-08-31,biggest secret world steve doocy said response keeping top secret document private residence
3 More R. Kelly Accusers Testify About His Abuse In Chicago Trial,News,U.S. NEWS,2022-08-31,prosecutor rested case singer stand accused producing child sexual abuse video latest trial
Stocks Dive For Truth Social SPAC Amid Merger Delay,News,POLITICS,2022-08-30,one thing another donald trump truth social
6 Signs YouÃÂre Grinding Your Teeth At Night (And What To Do About It),News,WELLNESS,2022-08-30,beyond toothache common red flag dealing nighttime teeth grinding
'Safety Is Always First': NASA Reschedules Artemis Moon Mission To Saturday,News,SCIENCE,2022-08-30,going play nine inning artemis mission manager said first launch scrubbed
Secret Service Official And Ex-Trump Aide Tony Ornato Retires Amid Jan. 6 Probe,News,POLITICS,2022-08-30,ornato one point served white house political adviser said witnessed trump lunge secret service agent capitol attack
'The Vow Part Two' Trailer Dives Deeper Into Downfall Of Twisted NXIVM Cult,News,ENTERTAINMENT,2022-08-30,hbo release follow series beginning october infamous sex cult led keith raniere
"This Breastfeeding Condition Makes Moms Feel Dread, Disgust And Despair",News,PARENTING,2022-08-30,mom dysphoric reflex feel intense brief wave depression anxiety negative emotion letdown common might think
"Yung Gravy Brings Addison RaeÃÂs Mom As His VMAs Date, Calls Her A Certain 4-Letter Word",News,ENTERTAINMENT,2022-08-29,tiktok mom sheri easterling rapper made romance public ex monty lopez happy
House Members Are Using A Controversial Tool To Keep Campaigning. Has It Gone Too Far?,News,POLITICS,2022-08-29,house member supposed use proxy voting present due stopping representative voting remotely campaign trail
Lindsey Graham Warns Of 'Riots In Streets' If Trump Is Charged Over Classified Docs,News,POLITICS,2022-08-29,republican including believe come trump law graham said fox news getting
Amber Heard's Sister Reacts To 'Disgusting' Johnny Depp Cameo At VMAs,News,ENTERTAINMENT,2022-08-29,actor appeared virtually mtv video music award moon person sunday night
Johnny Depp Makes Surprise Appearance As Moon Person At MTV VMAs,News,ENTERTAINMENT,2022-08-29,actor made first appearance since defamation verdict amber heard june
And The Award For Most Enthusiastic VMAs Guest Goes To Taylor Swift,News,ENTERTAINMENT,2022-08-29,singer channeled inner barb danced along lizzo fangirled blackpink
"Pakistan Flooding Deaths Pass 1,000 In 'Climate Catastrophe'",News,WORLD NEWS,2022-08-28,pakistani authority reported casualty since monsoon season began earlier normal year destroying nearly home
2022 MTV VMAs Red Carpet: All The Wildest Looks You Need To See,News,ENTERTAINMENT,2022-08-28,celebrity showed showed award sunday night new jersey
A Nebraska Man Conducted An Active Shooter Drill. Employees Had No Idea.,News,U.S. NEWS,2022-08-28,man hired organize looked like mass shooting charged multiple terrorism count
Kash Patel Says His Life's In Danger Because He's In FBI Affidavit,News,POLITICS,2022-08-28,message posted truth social patel called attack
FBI Probing Russian-Speaking Fake Heiress Who Infiltrated Mar-A-Lago: Report,News,POLITICS,2022-08-28,startling case underscore security challenge donald resort even former president stashed government file
Arcade Fire Singer Win Butler Accused Of Sexual Misconduct By Several People: Report,News,ENTERTAINMENT,2022-08-28,butler told pitchfork consensual relationship outside marriage disputed detail allegation
Don Jr. Posts 'Dick Pic' Of Dad After Affidavit Release: 'Redact This!',News,POLITICS,2022-08-27,hang president goof one fan
Trump Attorneys File Do-Over Motion Regarding Mar-A-Lago Search,News,POLITICS,2022-08-27,former president legal team followed judge order polish filing fbi seizure government document estate
"6 Missing College Students In Mexico Were Held In Warehouse, Killed By Army",News,WORLD NEWS,2022-08-27,six student kidnapped kept alive day handed local army commander ordered killed according new report
A Fisherman Thought He Caught A Rock. He Snagged A Prehistoric Treasure Instead.,News,WEIRD NEWS,2022-08-27,nebraska man said initially believed underwater find skeleton catfish deer
Jared Kushner Blasts 'Nasty Troll' Chrissy Teigen For Attacks On Ivanka,News,POLITICS,2022-08-27,nasty
'Kimmel' Host Nikki Glaser Absolutely Goes There In Scorching NSFW Monologue,News,ENTERTAINMENT,2022-08-26,one safe speed roast targeting politician
Mar-A-Lago Search Affidavit: Trump Was Insecurely Storing Most Sensitive Intel At Club,News,POLITICS,2022-08-26,heavily redacted document lay justification department justice provided judge permission search seize highly classified document fbi raid trump florida home
"Donald Trump's Truth Social Reportedly Faces Major Money, Trademark Woes",News,POLITICS,2022-08-26,major vendor claim stiffed trump social medium operation suggesting finance significant disarray reported fox business
FINISH HIM: Fighting Kangaroo Pulls Wild Move Right Out Of A Video Game,News,WEIRD NEWS,2022-08-26,two mad marsupial went canberra nature reserve
"6 Months Into War, Russian Goods Still Flowing To U.S.",News,WORLD NEWS,2022-08-25,american company including federal contractor continue buy everything birch wood flooring titanium russian corporation
Judge Temporarily Blocks North Dakota Trigger Law Banning Abortion,News,POLITICS,2022-08-25,ban set take effect friday two month supreme court overturned roe wade
REI Workers At Berkeley Store Vote To Unionize In Another Win For Labor,News,BUSINESS,2022-08-25,follow footstep rei worker new york city formed union earlier year
Gov. Brian Kemp Fights Subpoena In Georgia Election Probe,News,POLITICS,2022-08-25,judge presiding special grand jury investigating possible illegal attempt influence election georgia
JapanÃÂs National Police Chief To Resign Over Shinzo Abe Assassination,News,WORLD NEWS,2022-08-25,national police agency chief itaru nakamura announcement came agency released report failed protect abe life july
"Uvalde Victims' Families, Survivors Plan Multi-Billion Dollar Lawsuit",News,U.S. NEWS,2022-08-24,lawsuit look name law enforcement agency shop accused shooter bought gun used uvalde shooting
"Dan Goldman, Narrowly Leading In New York Democratic Primary, Declares Victory",News,POLITICS,2022-08-24,congressional race officially called rival niou declined concede
Markwayne Mullin Wins Oklahoma Republican Primary To Succeed GOP Sen. Jim Inhofe,News,POLITICS,2022-08-24,house member known staunch president biden critic loyal donald trump supporter
Charlie Crist Wins Chance To Take On Florida Gov. Ron DeSantis And His $132 Million,News,POLITICS,2022-08-24,crist making second run governor democrat served one term job republican decade ago
IRS Launches Safety Review Amid Threats To Workers Linked To Conspiracy Theories,News,POLITICS,2022-08-24,internal revenue service say conducting comprehensive review safety facility
Student Loan Borrowers Await Biden Plan On Debt Forgiveness,News,POLITICS,2022-08-24,biden plan survives legal challenge almost certain come could offer windfall swath nation fall midterm election
'House Of The Dragon' Is Already Ratings King After Most-Watched HBO Premiere Ever,News,ENTERTAINMENT,2022-08-23,game throne spinoff pulled largest audience original series premiere hbo history
Former Louisville Cop Pleads Guilty In Breonna Taylor Case,News,U.S. NEWS,2022-08-23,former louisville police detective helped falsify warrant led deadly police raid apartment pleaded guilty federal charge
"Jerry Allison, Buddy Holly's Drummer, Dead At 82",News,ENTERTAINMENT,2022-08-23,rock roll hall fame member also classic song like
Andrew Garfield Confirms Method Acting Is Possible Without 'Being An Asshole',News,ENTERTAINMENT,2022-08-23,actor revealed abstained sex month starved prepare role
Rusty Bowers Rips 'Fascism' Of GOP And Trump's Strong-Arm Tactics To Trash Vote,News,POLITICS,2022-08-23,hanged yet arizona gop leader told guardian powerful interview holy moly crazy place lost
"After Delay, Biden Readies Student Loan Help, Payment Pause",News,POLITICS,2022-08-23,precise detail president joe plan kept unusually small circle within biden administration
This Is The Bittersweet Part Of Democrats' Sweet Legislative Victory,News,POLITICS,2022-08-22,democrat cusp transforming paid leave child care home care figuring came short might get opportunity try
UK Broadcaster To Air Satirical Musical On Prince Andrew,News,WORLD NEWS,2022-08-22,program described life duke set musical score
Teachers In Ohio's Largest School District Go On Strike,News,POLITICS,2022-08-22,class scheduled resume two day
"Ukraine: 9,000 Of Its Troops Killed Since Russia Began War",News,WORLD NEWS,2022-08-22,russian invasion ukraine began
"Gas Prices Are Falling, But Global Events Could Cause Increase, Energy Secretary Warns",News,POLITICS,2022-08-22,jennifer granholm said produce record amount oil next year
